uuid,className,name,displayName
4Rs-p2tICc-VjITCx-Dcy74,MetaGroup,GROUP-PivotalVmsByDeployment,Pivotal VMs
_o94pZyFqEd-RkpkaAlL0ch,StaticMetaGroup,GROUP-PMsByCluster,PMs
_o94pZyFqEd-RkpkaAlL0cj,StaticMetaGroup,GROUP-STsByDatacenter,Storage
_o94pZyFqEd-RkpkaAlL0ck,StaticMetaGroup,GROUP-STsByCluster,Storage
_o94pZyFqEd-RkpkaAlL1da,StaticMetaGroup,GROUP-LPsByStorageController,LogicalPool
_iIo7EVDZEd-obLya6ExnGA,StaticMetaGroup,GROUP-VMsByCluster,VMs
_iIo7EVDZQd-obLya6ExnGA,StaticMetaGroup,GROUP-AppByPM,Apps
_pELEEC8AEeGlzYJ0fAFhcQ,StaticMetaGroup,GROUP-VMsByOrgVDC,VMs
_vgg8MODHEeGc5fmApFldNA,StaticMetaGroup,GROUP-PMsByCost,PMs
_vg59wODHEeGc5fmApFldNA,StaticMetaGroup,GROUP-STsByCost,STs
_o94ZZyFqEd-RkpkaAlL0ch111,StaticMetaGroup,GROUP-STsBySTCluster,Storage
_o94ZZyFqEd-RkpkaAlsdasn2,StaticMetaGroup,GROUP-VMsBySTCluster,VMs
_o94ZZyFqEd-RkpkaAlL0ch123,StaticMetaGroup,GROUP-STsBySLCluster,Storage
_o94ZZyFqEd-RkpkaAlsdasn3,StaticMetaGroup,GROUP-VMsBySLCluster,VMs
_o94pZYVqEd-PTpkaAlL0ci,StaticMetaGroup,GROUP-CHsByNetwork,CHs
_o94pZyFqEd-RkpkaAlL0ci,RefMetaGroup,GROUP-PMsByDatacenter,PMs
_o94pZYVqEd-RkpkaAlL0ci,RefMetaGroup,GROUP-PMsByChassis,PMs
_o94pZyFqEd-RkpkaAlL0ab,RefMetaGroup,GROUP-STsByDiskArray,Storage
_o94pZyFqEd-RkpkaAlL0cw,RefMetaGroup,GROUP-SWsByNetwork,FIs
_o94pZyFqEd-RkpkaAlL0cy,RefMetaGroup,GROUP-IOsByChassis,IOMs
_o94pZyFqEd-RkpkaAlL0cz,RefMetaGroup,GROUP-DAsByStorageController,DiskArray
_vWgPI7t3Ed-rL9FTSyYSqA,RefMetaGroup,GROUP-VMsByNetwork,VMs
_vWg2Mbt3Ed-rL9FTSyYSqA,RefMetaGroup,GROUP-VMsByStorage,VMs
_pELEEC8AEeGlzYJ0fAFhcR,RefMetaGroup,GROUP-VMsByBusinessUser,VMs
_o94pZyFqRd-RkpkqAlL0ci,RefMetaGroup,GROUP-VMsByAccount,VMs
_o92pZyFqFd-RkpkqAlL0ti,RefMetaGroup,GROUP-DBsByAccount,DBs
_o94pZyFdRf-RkpkqAlL1ci,RefMetaGroup,GROUP-DBSsByAccount,DBSs
_o94pPyFqRd-RkpkqAlL0ci,RefMetaGroup,GROUP-VMsByResourceGroup,VMs
_o92pPyFqFd-RkpkqAlL1ti,RefMetaGroup,GROUP-DBsByResourceGroup,DBs
_o94pPyFdRf-RkpkqAlL1ci,RefMetaGroup,GROUP-DBSsByResourceGroup,DBSs
_S4k68yFvEd-S4dn3T4_SSA,Group,GROUP-MyGroups,Groups
